customerid;personid;storeid;territoryid
1;NULL;934;1
2;NULL;1028;1
3;NULL;642;4
4;NULL;932;4
5;NULL;1026;4
6;NULL;644;4
7;NULL;930;1
8;NULL;1024;5
9;NULL;620;5
10;NULL;928;6
11;NULL;1022;6
12;NULL;622;6
13;NULL;434;7
14;NULL;1020;8
15;NULL;624;9
16;NULL;432;10
17;NULL;1018;5
18;NULL;1332;3
19;NULL;430;1
20;NULL;1016;1
21;NULL;1334;4
22;NULL;494;3
23;NULL;1014;4
24;NULL;1336;4
25;NULL;492;4
26;NULL;1012;5
27;NULL;1338;5
28;NULL;490;6
29;NULL;1010;6
30;NULL;1340;6
31;NULL;942;7
32;NULL;1008;8
33;NULL;1342;9
34;NULL;940;10
35;NULL;1006;2
36;NULL;1344;2
37;NULL;938;1
38;NULL;1004;1
39;NULL;1346;3
40;NULL;936;4
41;NULL;1002;4
42;NULL;1348;4
43;NULL;1290;1
44;NULL;1000;5
45;NULL;1350;5
46;NULL;1288;6
47;NULL;998;6
48;NULL;1352;6
49;NULL;1286;7
50;NULL;996;8
51;NULL;1354;9
52;NULL;1284;10
53;NULL;994;2
54;NULL;1356;2
55;NULL;1282;1
56;NULL;992;1
57;NULL;1358;3
58;NULL;1280;3
59;NULL;990;4
60;NULL;1360;4
61;NULL;1278;4
62;NULL;988;5
63;NULL;1362;5
64;NULL;1276;6
65;NULL;986;6
66;NULL;782;6
67;NULL;1274;7
68;NULL;532;8
69;NULL;784;9
70;NULL;1272;10
71;NULL;530;2
72;NULL;786;2
73;NULL;1270;1
74;NULL;528;1
75;NULL;788;4
76;NULL;1268;3
77;NULL;556;4
78;NULL;790;4
79;NULL;1266;3
80;NULL;554;5
81;NULL;792;5
82;NULL;1264;6
83;NULL;552;6
84;NULL;794;6
85;NULL;1262;7
86;NULL;636;8
87;NULL;796;9
88;NULL;1260;10
89;NULL;634;2
90;NULL;798;5
91;NULL;1258;1
92;NULL;632;1
93;NULL;800;4
94;NULL;1256;4
95;NULL;630;4
96;NULL;1308;4
97;NULL;1254;4
98;NULL;734;5
99;NULL;1310;5
100;NULL;1252;6
101;NULL;732;6
102;NULL;1312;6
103;NULL;1894;7
104;NULL;730;8
105;NULL;1314;9
106;NULL;1892;10
107;NULL;728;2
108;NULL;1316;2
109;NULL;1890;1
110;NULL;1888;1
111;NULL;726;3
112;NULL;1318;4
113;NULL;1886;4
114;NULL;724;4
115;NULL;1320;1
116;NULL;1884;5
117;NULL;722;5
118;NULL;1322;6
119;NULL;1882;6
120;NULL;720;6
121;NULL;1324;7
122;NULL;1880;8
123;NULL;718;9
124;NULL;1326;10
125;NULL;1878;2
126;NULL;716;2
127;NULL;1328;1
128;NULL;1876;1
129;NULL;714;3
130;NULL;1330;4
131;NULL;1874;4
132;NULL;712;3
133;NULL;978;4
134;NULL;1872;5
135;NULL;710;5
136;NULL;980;6
137;NULL;418;6
138;NULL;708;6
139;NULL;982;7
140;NULL;416;8
141;NULL;706;9
142;NULL;984;10
143;NULL;520;2
144;NULL;704;2
145;NULL;522;1
146;NULL;518;1
147;NULL;702;3
148;NULL;524;3
149;NULL;516;3
150;NULL;700;4
151;NULL;526;4
152;NULL;650;5
153;NULL;514;5
154;NULL;626;6
155;NULL;648;6
156;NULL;512;6
157;NULL;628;7
158;NULL;646;8
159;NULL;456;9
160;NULL;658;10
161;NULL;820;2
162;NULL;454;2
163;NULL;660;1
164;NULL;818;1
165;NULL;506;4
166;NULL;662;4
167;NULL;816;4
168;NULL;504;4
169;NULL;804;1
170;NULL;814;5
171;NULL;502;5
172;NULL;806;6
173;NULL;812;6
174;NULL;500;6
175;NULL;808;7
176;NULL;446;8
177;NULL;688;9
178;NULL;810;10
179;NULL;444;2
180;NULL;686;3
181;NULL;1292;1
182;NULL;442;1
183;NULL;684;3
184;NULL;1294;4
185;NULL;1196;4
186;NULL;682;4
187;NULL;1296;4
188;NULL;1194;5
189;NULL;680;5
190;NULL;1298;6
191;NULL;1192;6
192;NULL;678;6
193;NULL;1300;7
194;NULL;1190;8
195;NULL;676;9
196;NULL;1302;10
197;NULL;1188;3
198;NULL;452;3
199;NULL;1304;1
200;NULL;1186;1
201;NULL;450;4
202;NULL;1306;4
203;NULL;1184;4
204;NULL;448;4
205;NULL;1404;4
206;NULL;1182;5
207;NULL;414;5
208;NULL;1406;6
209;NULL;1180;6
210;NULL;412;6
211;NULL;1408;7
212;NULL;1178;8
213;NULL;410;9
214;NULL;1410;10
215;NULL;1176;2
216;NULL;544;2
217;NULL;1412;1
218;NULL;1174;1
219;NULL;1172;3
220;NULL;542;3
221;NULL;1414;4
222;NULL;1170;3
223;NULL;1158;3
224;NULL;1416;5
225;NULL;1168;5
226;NULL;1156;6
227;NULL;1418;6
228;NULL;1166;6
229;NULL;1154;7
230;NULL;1420;8
231;NULL;550;9
232;NULL;1152;10
233;NULL;1422;2
234;NULL;548;2
235;NULL;1150;1
236;NULL;1424;1
237;NULL;546;3
238;NULL;1148;3
239;NULL;1426;4
240;NULL;1956;4
241;NULL;1146;4
242;NULL;1428;5
243;NULL;1954;5
244;NULL;1144;6
245;NULL;1430;6
246;NULL;1952;6
247;NULL;1142;7
248;NULL;1432;8
249;NULL;1950;9
250;NULL;1140;10
251;NULL;1434;2
252;NULL;1948;2
253;NULL;1138;1
254;NULL;472;1
255;NULL;1946;4
256;NULL;1136;4
257;NULL;474;4
258;NULL;1944;4
259;NULL;1134;4
260;NULL;476;5
261;NULL;1942;5
262;NULL;1132;6
263;NULL;580;6
264;NULL;1940;6
265;NULL;590;7
266;NULL;582;8
267;NULL;1938;9
268;NULL;588;10
269;NULL;584;2
270;NULL;1936;2
271;NULL;586;1
272;NULL;612;1
273;NULL;1934;4
274;NULL;952;3
275;NULL;614;4
276;NULL;1932;4
277;NULL;950;4
278;NULL;616;5
279;NULL;1930;5
280;NULL;948;6
281;NULL;618;6
282;NULL;1928;6
283;NULL;946;7
284;NULL;758;8
285;NULL;408;9
286;NULL;944;10
287;NULL;760;3
288;NULL;406;3
289;NULL;498;1
290;NULL;762;1
291;NULL;398;4
292;NULL;496;4
293;NULL;764;1
294;NULL;396;4
295;NULL;1490;4
296;NULL;766;5
297;NULL;394;5
298;NULL;1488;6
299;NULL;768;6
300;NULL;386;6
301;NULL;1486;7
302;NULL;770;8
303;NULL;384;9
304;NULL;1484;10
305;NULL;772;2
306;NULL;382;3
307;NULL;1482;1
308;NULL;774;1
309;NULL;372;4
310;NULL;1480;3
311;NULL;776;4
312;NULL;370;4
313;NULL;1478;4
314;NULL;778;5
315;NULL;440;5
316;NULL;1476;6
317;NULL;780;6
318;NULL;438;6
319;NULL;1474;7
320;NULL;538;8
321;NULL;436;9
322;NULL;1472;10
323;NULL;540;3
324;NULL;2051;2
325;NULL;1470;1
326;NULL;964;1
327;NULL;1994;3
328;NULL;1992;4
329;NULL;470;4
330;NULL;966;4
331;NULL;1990;4
332;NULL;468;5
333;NULL;968;5
334;NULL;1988;6
335;NULL;466;6
336;NULL;970;6
337;NULL;1986;7
338;NULL;578;8
339;NULL;972;9
340;NULL;1984;10
341;NULL;576;2
342;NULL;974;2
343;NULL;1982;1
344;NULL;574;1
345;NULL;976;4
346;NULL;1980;3
347;NULL;572;4
348;NULL;348;3
349;NULL;1978;4
350;NULL;610;5
351;NULL;354;5
352;NULL;1236;6
353;NULL;608;6
354;NULL;356;6
355;NULL;1234;7
356;NULL;606;8
357;NULL;358;9
358;NULL;1232;10
359;NULL;604;2
360;NULL;360;3
361;NULL;1230;1
