salesorderid;revisionnumber;orderdate;duedate;shipdate;status;onlineorderflag;purchaseordernumber;accountnumber;customerid;territoryid;shiptoaddressid;creditcardid;subtotal;taxamt;freight;totaldue;comment
43659;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO522145787;10-4020-000676;29825;5;985;16281;205656206;19715149;6160984;231532339;NULL
43660;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO18850127500;10-4020-000117;29672;5;921;5618;12942529;1242483;388276;14573288;NULL
43661;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO18473189620;10-4020-000442;29734;6;517;1346;327264786;31537696;985553;368658012;NULL
43662;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO18444174044;10-4020-000227;29994;6;482;10456;288325289;27751646;8672389;324749324;NULL
43663;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO18009186470;10-4020-000510;29565;4;1073;4322;4194589;402681;125838;4723108;NULL
43664;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO16617121983;10-4020-000397;29898;1;876;806;244326088;23449921;732;275104109;NULL
43665;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO16588191572;10-4020-000146;29580;1;849;15232;143527713;13759427;4299821;161586961;NULL
43666;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO16008173883;10-4020-000511;30052;4;1074;13349;50564896;4863747;1519921;56948564;NULL
43667;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO15428132599;10-4020-000646;29974;3;629;10370;6107082;5861203;1831626;68763649;NULL
43668;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO14732180295;10-4020-000514;29614;6;529;1566;359441562;34617654;10818017;404877233;NULL
43669;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO14123169936;10-4020-000578;29747;1;895;15538;7147043;705175;220367;8072585;NULL
43670;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO14384116310;10-4020-000504;29566;3;810;18017;6122082;5875603;1836126;68932549;NULL
43671;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO13978119376;10-4020-000200;29890;1;855;13693;81287876;7808136;2440042;91536054;NULL
43672;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO13862153537;10-4020-000119;30067;6;464;3980;6124182;5876023;1836257;6895;NULL
43673;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO13775141242;10-4020-000618;29844;2;821;1417;37462015;3579614;1118629;42160258;NULL
43674;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO12760141756;10-4020-000083;29596;6;458;19204;2624382;2519407;787315;29550542;NULL
43675;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO12412186464;10-4020-000670;29827;3;631;11886;57163102;5468759;1708987;64340848;NULL
43676;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO11861165059;10-4020-000017;29811;5;755;18153;14203458;1363266;4260206;159927446;NULL
43677;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO11049174786;10-4020-000679;29824;6;556;14030;77931108;7471011;2334691;8773681;NULL
43678;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO10817150168;10-4020-000203;29889;4;1021;5093;97999243;942074;2943981;110363964;NULL
43679;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO10527142759;10-4020-000480;29761;6;525;5439;13160575;1258032;393135;14811742;NULL
43680;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO10730130087;10-4020-000491;29489;4;1069;6653;113974992;10936394;3417623;128329009;NULL
43681;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO1189177803;10-4020-000423;29661;5;955;5301;137875434;13230668;4134584;155240686;NULL
43682;8;31-05-2011 0:00;12-06-2011 0:00;07-06-2011 0:00;5;0;PO1566124200;10-4020-000486;29759;2;808;76;38757229;3718002;1161876;43637107;NULL
